10000,10,5
10000,10,10
10000,10,25
10000,10,50
10000,10,100
10000,10,150
10000,10,200
10000,25,5
10000,25,10
10000,25,25
10000,25,50
10000,25,100
10000,25,150
10000,25,200
10000,50,5
10000,50,10
10000,50,25
10000,50,50
10000,50,100
10000,50,150
10000,50,200
10000,100,5
10000,100,10
10000,100,25
10000,100,50
10000,100,100
10000,100,150
10000,100,200
10000,250,5
10000,250,10
10000,250,25
10000,250,50
10000,250,100
10000,250,150
10000,250,200
10000,500,5
10000,500,10
10000,500,25
10000,500,50
10000,500,100
10000,500,150
10000,500,200
